feature 2;cg12045430;WASH5P
feature 249751;cg00580604;null
feature 298898;cg03036422;NECTIN1
feature 446352;cg19825302;SNAR-F
feature 3990;cg08425229;MEGF6
feature 413598;cg12472603;MXRA7
feature 102299;cg16635196;GPR160
feature 348057;cg01733928;null
feature 315289;cg09314702;null
feature 184223;cg10525394;null
feature 479130;cg00389918;TAF1
feature 397222;cg02077256;PMP22
feature 102304;cg27101425;GPR160
feature 200609;cg19921947;PSPH
feature 233377;cg07083896;TNFRSF11B
feature 36772;cg05929019;LAMC2
feature 216999;cg00946316;PTPRN2
feature 380835;cg06207201;SNX20
feature 462752;cg00628697;DSCR3
feature 36776;cg23696949;LAMC2
feature 397229;cg10964577;PMP22
feature 397226;cg13164164;PMP22
feature 446379;cg25405145;SYT3
feature 282537;cg02984184;LDLRAD3
feature 167858;cg21578596;HLA-DMB
feature 479159;cg27187671;OGT
feature 462774;cg21407839;DYRK1A
feature 217012;cg16937735;PTPRN2
feature 53176;cg01103071;CRIM1
feature 348094;cg16385571;KCNK10
feature 85948;cg06284479;LRRFIP2
feature 266180;cg13505905;SORCS3
feature 446407;cg24220046;SHANK1
feature 217024;cg03784375;PTPRN2
feature 4037;cg06775523;MEGF6
feature 217028;cg22199651;PTPRN2
feature 36808;cg11241436;NMNAT2
feature 462798;cg17731209;null
feature 118731;cg10857558;TIGD2
feature 462795;cg17383940;null
feature 282571;cg26710371;LDLRAD3
feature 430025;cg03071553;FUT5
feature 217036;cg15684231;PTPRN2
feature 446420;cg23323297;SHANK1
feature 446419;cg02631082;SHANK1
feature 20439;cg26406563;MROH7
feature 462813;cg20515679;KCNJ6
feature 380895;cg26719542;null
feature 413659;cg05449190;null
feature 217053;cg10613546;PTPRN2
feature 446439;cg05627987;SHANK1
feature 249825;cg20716571;WDR37
feature 266215;cg16415058;SORCS1
feature 53219;cg04154911;CRIM1
feature 364512;cg23513966;ISL2
feature 282604;cg26601310;PRR5L
feature 233450;cg14409958;ENPP2
feature 200691;cg03456771;null
feature 266228;cg22536451;null
feature 102384;cg07137845;CLDN11
feature 233456;cg07651720;null
feature 446450;cg10773601;CLEC11A
feature 217077;cg01239704;PTPRN2
feature 102392;cg17078427;CLDN11
feature 348159;cg16137564;null
feature 36859;cg12725906;ARPC5
feature 413693;cg22640193;MGAT5B
feature 102397;cg06086012;CLDN11
feature 217084;cg21660826;PTPRN2
feature 200700;cg13016851;null
feature 479239;cg03679269;NHSL2
feature 217089;cg25059070;PTPRN2
feature 282625;cg11881472;PRR5L
feature 266253;cg15808835;null
feature 86024;cg24717490;ITGA9
feature 266249;cg25898550;null
feature 299017;cg07080244;null
feature 184333;cg09555729;SYNJ2
feature 299029;cg18331098;OAF
feature 86038;cg01439112;CTDSPL
feature 364572;cg03961086;RCN2
feature 413727;cg11661236;MGAT5B
feature 86040;cg08229360;CTDSPL
feature 266271;cg05278858;null
feature 184351;cg11582617;SERAC1
feature 53280;cg01460969;STRN
feature 20512;cg03557698;LEXM
feature 364591;cg21322248;PSTPIP1
feature 53294;cg00585253;GPATCH11
feature 135212;cg20396510;MAST4
feature 380970;cg01146232;SALL1
feature 331818;cg20618076;ST13P4
feature 315435;cg27280332;null
feature 266292;cg03088705;XPNPEP1
feature 20528;cg13548810;DHCR24
feature 4147;cg01101400;WRAP73
feature 217136;cg08984038;PTPRN2
feature 430131;cg06398908;RFX2
feature 102452;cg24527591;null
feature 217140;cg15230900;PTPRN2
feature 167995;cg21174644;BRD2
feature 479290;cg16730484;RPS4X
feature 200765;cg11356767;null
feature 430136;cg11923174;RFX2
feature 430137;cg08268652;RFX2
feature 380999;cg16746369;null
feature 20547;cg15129052;null
feature 430158;cg14006586;null
feature 151625;cg15253304;null
feature 462921;cg15892280;ETS2
feature 266314;cg10061805;null
feature 299094;cg12819548;ARHGEF12
feature 151632;cg20359147;null
feature 200784;cg01351278;null
feature 233559;cg09948425;MRPL13
feature 4183;cg24336278;TP73
feature 462928;cg02119577;ETS2
feature 217176;cg08401143;PTPRN2
feature 151646;cg11235426;DUSP22
feature 348249;cg18727782;FOXN3
feature 217180;cg02445395;PTPRN2
feature 397401;cg07563400;ADORA2B
feature 348261;cg21796528;FOXN3
feature 413799;cg04867652;SEC14L1
feature 397408;cg06857116;ZSWIM7
feature 381026;cg05777602;null
feature 479343;cg20816612;PHKA1
feature 413806;cg20337028;SEC14L1
feature 200811;cg19794674;null
feature 118888;cg25778446;GRID2
feature 348264;cg05053979;FOXN3
feature 69742;cg17737681;DLX1
feature 413815;cg04308797;SEC14L1
feature 413812;cg08890627;SEC14L1
feature 331895;cg22090404;RNASEH2B
feature 348278;cg13277963;FOXN3
feature 479347;cg09966745;PHKA1
feature 315504;cg12871652;NAV3
feature 168054;cg17478371;BRD2
feature 36984;cg11855643;C1orf21
feature 200826;cg07618768;null
feature 364670;ch.15.75593923F;null
feature 118910;cg19085507;null
feature 69761;cg04522045;null
feature 364677;cg06524120;null
feature 151683;cg11852471;null
feature 233605;cg19747659;null
feature 348290;cg07010028;FOXN3
feature 37006;cg17170262;EDEM3
feature 233612;cg10864603;null
feature 4239;cg11585071;TP73
feature 479368;cg02379437;NAP1L2
feature 348308;cg01833755;FOXN3
feature 4242;cg03043665;TP73
feature 151705;cg06392169;IRF4
feature 446619;cg14591460;KLK9
feature 151709;cg21277995;IRF4
feature 446617;cg20103311;KLK9
feature 135330;cg25195415;PIK3R1
feature 397476;cg18185665;CENPV
feature 413859;cg17611647;null
feature 282796;cg19071225;API5
feature 200875;cg17654585;null
feature 266415;cg16675525;null
feature 102570;cg02937055;PLD1
feature 217262;cg02720761;PTPRN2
feature 348328;cg03771844;FOXN3-AS2
feature 463018;cg19690901;SH3BGR
feature 315572;cg24592892;null
feature 348343;cg15314212;null
feature 37043;cg25149396;FAM129A
feature 413875;cg11468193;SEPT9
feature 200884;cg18871179;null
feature 200891;cg02728544;null
feature 479421;cg09803537;null
feature 86205;cg12452909;ACVR2B
feature 397499;cg00960580;UBB
feature 168127;cg15737554;HLA-DOA
feature 413883;cg13342364;SEPT9
feature 331973;cg24460268;INTS6
feature 430278;cg25468529;SLC25A23
feature 200898;cg06410163;null
feature 151745;cg09222732;null
feature 299207;cg03747614;TECTA
feature 430274;cg17100943;SLC25A23
feature 299200;cg05414783;TECTA
feature 20679;cg03459415;null
feature 217289;cg11206084;PTPRN2
feature 364750;cg13641690;null
feature 4301;cg10634619;TP73-AS1
feature 282838;cg14294096;MIR670
feature 348375;cg01859528;EFCAB11
feature 118995;cg06065089;BMPR1B
feature 282839;cg07616094;MIR670
feature 184534;cg01146614;EZR
feature 118996;cg03658557;BMPR1B
feature 413904;cg04452095;SEPT9
feature 331987;cg00530199;INTS6
feature 20696;cg14614643;null
feature 430302;cg11599981;DENND1C
feature 69848;ch.2.3504351F;null
feature 20697;cg09233658;null
feature 315615;cg24827399;PPP1R12A
feature 282841;cg13311939;null
feature 217309;cg10767008;PTPRN2
feature 413912;cg10755077;SEPT9
feature 315611;cg24734184;PPP1R12A
feature 135392;cg24088685;CCNB1
feature 200935;cg19595886;null
feature 151783;cg07558259;EXOC2
feature 446703;cg01413268;CTU1
feature 332015;cg06659380;WDFY2
feature 282862;cg14059420;null
feature 168168;cg17313945;HLA-DOA
feature 266479;cg04552235;null
feature 250098;cg17077845;ADARB2
feature 364791;cg23941016;TBC1D2B
feature 86261;cg03825810;SCN11A
feature 168182;cg24476363;HLA-DOA
feature 282865;cg13442432;null
feature 86263;cg18677812;SCN11A
feature 20726;cg00113117;null
feature 86265;cg23462788;SCN11A
feature 4344;cg17855390;null
feature 463103;cg15372721;DSCAM
feature 381183;cg26746331;FTO
feature 37117;ch.1.183610071R;null
feature 266490;cg16349964;RBM20
feature 299268;cg15305564;SORL1
feature 37121;cg26795702;null
feature 135427;cg18275539;CDK7
feature 430341;cg04738552;TUBB4A
feature 250119;cg14288594;ADARB2
feature 37126;cg24351427;null
feature 217348;cg07927098;PTPRN2
feature 102666;cg12462499;FNDC3B
feature 446730;cg25261331;SIGLEC9
feature 413962;cg19422205;SEPT9
feature 37133;cg17286253;HMCN1
feature 315659;cg05981335;MYF6
feature 233746;cg23822407;ZHX2
feature 446740;cg00833257;SIGLEC7
feature 217361;cg15540496;PTPRN2
feature 299286;cg14994639;SORL1
feature 364816;cg03499581;SH2D7
feature 37144;cg22446206;HMCN1
feature 479518;cg20972834;ABCB7
feature 364830;cg21788396;CIB2
feature 4380;cg05643503;LRRC47
feature 348441;cg22935207;null
feature 348443;cg20276874;PSMC1
feature 315674;cg10868277;MYF5
feature 266522;cg10955669;RBM20
feature 37153;cg18221016;HMCN1
feature 151846;cg17487705;null
feature 69925;cg25074751;RAPGEF4
feature 463136;cg16635863;BACE2
feature 135461;cg26072457;RAD17
feature 413997;cg12194864;SEPT9
feature 397613;cg14905731;null
feature 69933;cg09459581;RAPGEF4
feature 20785;cg17891251;C1orf168
feature 69940;cg01742357;RAPGEF4
feature 119092;cg14454094;RAP1GDS1
feature 364848;cg01531949;IDH3A
feature 414000;cg21808045;SEPT9
feature 430385;cg01432753;TNFSF14
feature 201018;cg14644941;LOC100287834
feature 201016;cg02643647;LOC100287834
feature 69948;cg08754268;RAPGEF4
feature 299329;cg22856771;null
feature 348493;cg14954154;null
feature 299341;cg04265964;null
feature 282958;cg06997305;null
feature 233800;cg12002745;null
feature 102732;cg00589895;NCEH1
feature 119124;cg23246886;TSPAN5
feature 151892;cg21823426;LINC01622
feature 86359;cg03341377;CX3CR1
feature 151893;cg21223521;LINC01622
feature 332127;cg15569224;NEK3
feature 37213;cg25837803;PTGS2
feature 4445;cg01920090;DFFB
feature 348504;cg20328328;CALM1
feature 151907;cg23415219;LINC01622
feature 282982;cg03105379;ACCSL
feature 217440;cg19268477;PTPRN2
feature 381286;cg01337391;null
feature 250215;cg13504411;ADARB2
feature 266594;cg05563110;ADRA2A
feature 315747;cg24719984;PPFIA2
feature 348527;cg18671037;null
feature 282985;cg18265608;ACCS
feature 332139;cg04649468;null
feature 430441;cg02085507;TRIP10
feature 250220;cg02887530;ADARB2
feature 168301;cg16055526;HLA-DPB2
feature 463223;cg27263741;LINC00111
feature 20849;cg08123701;DAB1
feature 20850;cg17461600;DAB1
feature 299378;cg16949103;MIR100HG
feature 86390;cg12534466;SLC25A38
feature 463216;cg14982276;TMPRSS2
feature 201083;cg02850546;null
feature 479614;cg03665601;ATRX
feature 414075;cg09346383;null
feature 53631;cg20799917;GALM
feature 299396;cg12239342;MIR100HG
feature 348548;cg18498263;TTC7B
feature 381319;cg02981942;null
feature 4482;cg26020826;LINC01134
feature 446852;cg00481739;SIGLEC10
feature 250240;cg14556787;ADARB2
feature 250246;cg08218646;ADARB2
feature 4485;cg11983469;LINC01134
feature 53639;cg20957316;SRSF7
feature 397710;cg05755441;MPRIP
feature 217481;cg06621425;PTPRN2
feature 217487;cg10152633;PTPRN2
feature 397706;cg26176665;MPRIP
feature 217490;cg16992960;PTPRN2
feature 151952;cg24651969;null
feature 446868;cg17521120;SIGLEC8
feature 479635;cg23832225;MAGT1
feature 332177;cg26124961;VPS36
feature 463251;cg22026368;RIPK4
feature 299409;cg14530143;null
feature 266642;cg14119527;null
feature 299411;cg21854228;null
feature 233886;cg08573893;WDYHV1
feature 86430;cg07071426;null
feature 20898;cg06710648;DAB1
feature 201127;cg19127541;null
feature 397731;cg05450457;MPRIP
feature 4522;cg10510935;null
feature 4530;cg13443938;null
feature 151984;cg13728003;null
feature 201136;cg24729221;null
feature 463284;cg15236484;null
feature 119225;cg24952123;null
feature 364988;cg26678012;CHRNA5
feature 201145;cg13388277;ZNF727
feature 53691;cg11176990;LOC375196
feature 381374;cg03782157;null
feature 184767;cg10634217;TCP1
feature 4544;cg00600854;null
feature 397767;cg19636308;FLCN
feature 152003;cg10759602;FOXF2
feature 332230;cg00222125;SUGT1
feature 446924;cg08461949;null
feature 397773;cg10345980;FLCN
feature 4556;cg01150351;null
feature 201167;cg20164601;null
feature 217551;cg20673767;PTPRN2
feature 184783;cg24100167;PNLDC1
feature 37327;cg05374271;RGS2
feature 315860;cg21836370;null
feature 53713;cg04346261;SOS1
feature 70096;cg06318624;null
feature 233937;cg07962311;KLHL38
feature 152020;cg14830791;null
feature 348626;cg06907680;C14orf159
feature 299484;cg01591431;C11orf63
feature 315870;cg25800765;ALX1
feature 217566;cg21748317;PTPRN2
feature 233949;cg00283535;ANXA13
feature 365019;cg08321268;CHRNB4
feature 315876;cg02409351;ALX1
feature 315878;cg07780095;ALX1
feature 168417;cg19612068;null
feature 381409;cg05731816;null
feature 381408;cg16473125;null
feature 315874;cg25678815;ALX1
feature 348642;cg10297617;C14orf159
feature 20972;cg10895022;null
feature 299496;cg26239495;C11orf63
feature 86513;cg21923201;ENTPD3
feature 250352;cg12072770;null
feature 332275;cg07847863;PCDH8
feature 168443;cg03562759;COL11A2
feature 397820;cg07551230;null
feature 53756;cg01156394;null
feature 233983;cg20890440;FER1L6
feature 446970;cg11425517;HAS1
feature 53758;cg27509105;null
feature 332283;cg27360326;PCDH8
feature 168451;cg15047502;COL11A2
feature 4610;cg13495205;AJAP1
feature 463364;cg00054774;C2CD2
feature 20995;cg26456528;JUN
feature 446978;cg17657179;HAS1
feature 332289;cg16027761;PCDH8
feature 168453;cg17790159;COL11A2
feature 299523;cg02179652;BSX
feature 463360;cg19390317;C2CD2
feature 53768;cg16845548;null
feature 414222;cg12798338;TMC8
feature 168463;cg06924878;COL11A2
feature 70156;cg04105760;SP9
feature 233997;cg23548041;null
feature 168464;cg23945333;COL11A2
feature 184849;cg08350488;IGF2R
feature 250395;cg23939236;null
feature 381471;cg10079740;MMP2
feature 4636;cg24694502;AJAP1
feature 70173;cg01469887;null
feature 217629;cg24804145;PTPRN2
feature 135709;cg00657287;ZNF366
feature 135714;cg22558265;ZNF366
feature 152103;cg01395127;null
feature 4646;cg11735846;AJAP1
feature 266786;cg13206028;TCF7L2
feature 102952;cg11270278;null
feature 135723;cg15037004;ZNF366
feature 102957;cg18475969;null
feature 348712;cg19465605;CCDC88C
feature 53805;cg08160072;null
feature 381480;cg00355286;MMP2
feature 168492;cg10543376;COL11A2
feature 4655;cg03124858;AJAP1
feature 21040;cg07810476;null
feature 463415;cg19766460;UMODL1
feature 4656;cg21267167;AJAP1
feature 217650;cg05319711;PTPRN2
feature 463429;cg20214535;ABCG1
feature 102978;cg04365699;null
feature 266823;cg05923857;TCF7L2
feature 381510;cg04490714;SLC6A2
feature 217671;cg14689490;PTPRN2
feature 283201;cg04898130;TSPAN18
feature 184900;cg12497408;SLC22A1
feature 250436;cg26898531;null
feature 4680;cg22687211;AJAP1
feature 348748;cg13027206;CCDC88C
feature 70219;cg19759282;GPR155
feature 381519;cg04450501;SLC6A2
feature 152137;cg23572376;FOXC1
feature 447053;cg24886257;null
feature 414282;cg24107848;null
feature 250446;cg14036821;null
feature 4686;cg19628481;null
feature 184912;cg24225668;SLC22A2
feature 266839;cg23459363;null
feature 184918;cg02666489;SLC22A2
feature 414302;cg10709062;EPR1
feature 184926;cg19643109;null
feature 283226;cg12730562;TSPAN18
feature 430680;cg04522694;PNPLA6
feature 365156;cg21864519;RASGRF1
feature 479845;cg05313921;UBE2DNL
feature 184933;cg17364114;SLC22A3
feature 250475;cg02904062;null
feature 70249;cg17165848;WIPF1
feature 168555;cg12807179;COL11A2
feature 332393;cg06635059;null
feature 70253;cg27305009;WIPF1
feature 266856;cg26101767;NRAP
feature 479850;cg05204037;APOOL
feature 348778;cg08308934;PPP4R3A
feature 184941;cg23898998;SLC22A3
feature 184946;cg15363979;SLC22A3
feature 37488;cg02236668;ASPM
feature 316023;cg04257163;null
feature 168564;cg21771125;COL11A2
feature 70262;cg15058645;WIPF1
feature 266877;cg22906389;CASP7
feature 70266;cg01356950;WIPF1
feature 86650;cg04125246;ULK4
feature 168574;cg15346830;COL11A2
feature 152188;cg26908825;GMDS
feature 381562;cg00866976;GNAO1
feature 397945;cg27208169;RAI1
feature 463480;cg18879389;TFF2
feature 135810;cg07435275;null
feature 381575;cg00348762;DKFZP434H168
feature 348807;cg17200737;CATSPERB
feature 184966;cg11975608;LPA
feature 4741;cg25318976;null
feature 184971;cg02956962;null
feature 21131;cg23996071;HOOK1
feature 234127;cg13425294;null
feature 250510;cg15039604;null
feature 299658;cg24402151;null
feature 70286;cg26948536;null
feature 135826;cg00051307;null
feature 365205;cg00722320;MIR184
feature 266900;cg10627429;PLEKHS1
feature 283285;cg02674693;null
feature 152209;cg00741954;GMDS
feature 184982;cg09087901;PLG
feature 299665;cg13647528;GRAMD1B
feature 86680;cg19230867;null
feature 53914;cg22389308;null
feature 414363;cg22749855;SOCS3
feature 168605;cg23231727;COL11A2
feature 217756;cg13822242;PTPRN2
feature 479911;cg27545072;DACH2
feature 299685;cg03866836;GRAMD1B
feature 348839;cg21883802;FBLN5
feature 299686;cg19614312;GRAMD1B
feature 348833;cg02082843;FBLN5
feature 381601;cg09403559;GNAO1
feature 86695;cg08804892;TRAK1
feature 365218;cg25456849;ANKRD34C
feature 381614;cg07024458;GNAO1
feature 447147;cg18678067;ZNF836
feature 430761;cg17819420;null
feature 86705;cg01163330;TRAK1
feature 103091;cg25262361;KCNMB3
feature 86706;cg04558973;TRAK1
feature 201399;cg25697998;null
feature 217781;cg22056595;PTPRN2
feature 414396;cg11073997;PGS1
feature 299711;cg24498587;ZNF202
feature 86716;cg07365452;TRAK1
feature 70337;cg09456216;CHN1
feature 4801;cg06156296;null
feature 86720;cg06085877;CCK
feature 250566;cg25949033;PFKP
feature 479937;cg04875162;PABPC5
feature 234187;cg24358599;NSMCE2
feature 119497;cg07973026;MANBA
feature 37586;cg05128414;LHX9
feature 168657;cg21232625;COL11A2
feature 299730;cg13041637;OR6X1
feature 283359;cg26290543;null
feature 217816;cg12434889;PTPRN2
feature 316123;cg10255237;null
feature 266982;cg19002907;TDRD1
feature 37603;cg00795248;LHX9
feature 37604;cg08610862;LHX9
feature 414434;cg24677192;DNAH17
feature 135911;cg00177388;null
feature 365280;cg11399576;null
feature 479968;cg24381372;FAM133A
feature 414433;cg03830375;DNAH17
feature 168682;cg25381091;RXRB
feature 234219;cg05316555;TRIB1
feature 479982;cg07917796;DIAPH2
feature 185064;cg08424166;AGPAT4
feature 21228;cg21414842;NFIA
feature 217836;cg19423622;PTPRN2
feature 4847;cg15466571;NPHP4
feature 283380;cg11188440;null
feature 234225;cg06668527;TRIB1
feature 266999;cg22923514;VWA2
feature 398066;cg08455676;null
feature 414451;cg11752857;DNAH17
feature 381683;cg03015433;MT3
feature 4862;cg20277740;NPHP4
feature 267002;cg04689606;VWA2
feature 217852;cg10218605;PTPRN2
feature 267015;cg02465859;AFAP1L2
feature 70416;cg00674679;null
feature 54034;cg22772871;MTA3
feature 86802;cg27550783;SS18L2
feature 135959;cg07613364;null
feature 37654;cg13100753;ATP6V1G3
feature 168725;cg23070585;SLC39A7
feature 348958;cg21113318;RIN3
feature 316191;cg11119301;null
feature 348953;cg08114373;RIN3
feature 185122;cg15275393;PARK2
feature 70432;cg23429510;null
feature 37670;cg15626828;PTPRC
feature 135976;cg17561030;BTF3
feature 430893;cg18626346;EVI5L
feature 234280;cg03387289;null
feature 299829;cg24174996;OR8B4
feature 250672;cg04778755;null
feature 398131;cg17170741;ATPAF2
feature 381744;cg18438944;MT1A
feature 365373;cg15476396;null
feature 119608;cg27598017;CENPE
feature 316222;cg01511234;null
feature 168760;cg26750489;SLC39A7
feature 103227;cg21176048;PEX5L
feature 267071;cg01315572;ABLIM1
feature 430907;cg22083199;EVI5L
feature 398136;cg16323498;ATPAF2
feature 332602;cg12581627;PCDH20
feature 365377;cg10673307;null
feature 21317;cg13321661;PATJ
feature 267073;cg18680346;ABLIM1
feature 463694;cg09128751;CBS
feature 414540;cg00249503;DNAH17
feature 463691;cg24929181;CBS
feature 480072;cg27260927;SYTL4
feature 267092;cg04508114;ABLIM1
feature 54097;cg07694621;null
feature 21330;ch.1.1767330R;PATJ
feature 299857;cg08317412;PANX3
feature 168791;cg19712979;HSD17B8
feature 37717;cg10513702;NR5A2
feature 463697;cg11796095;CBS
feature 54103;cg05370101;null
feature 70489;cg07802350;HOXD13
feature 168792;cg11335171;HSD17B8
